Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CostCenter,SalaryBand,TotalCTC,BonusEligibility,IncentiveType,ProjectCostAllocation%,BillableStatus,ChargeOutRate,DepartmentBudgetCode
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,CC-SLS-03,B2,3115419,No,Performance Bonus,92,Non-Billable,0,BDG-Q3
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,CC-OPS-06,B5,1938106,No,Sales Commission,33,Non-Billable,0,BDG-Q2
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,CC-ENG-05,B1,1891210,No,Retention Bonus,70,Non-Billable,0,BDG-Q3
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,CC-MKT-02,B1,1533688,No,Retention Bonus,74,Non-Billable,0,BDG-Q2
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,CC-HR-04,B1,2730939,Yes,None,79,Billable,2171,BDG-Q2
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,CC-OPS-06,B1,3243061,No,Retention Bonus,57,Billable,1989,BDG-Q1
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,CC-OPS-06,B1,3299424,Yes,Retention Bonus,71,Billable,5214,BDG-Q1
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,CC-MKT-02,B5,2101584,Yes,Retention Bonus,98,Billable,3596,BDG-Q2
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,CC-HR-04,B3,2469059,Yes,Retention Bonus,30,Billable,3182,BDG-Q4
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,CC-ENG-05,B2,911955,Yes,None,68,Non-Billable,0,BDG-Q1
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,CC-FIN-01,B1,2727599,Yes,Sales Commission,46,Billable,3960,BDG-Q2
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,CC-HR-04,B3,2825198,No,Performance Bonus,64,Non-Billable,0,BDG-Q3
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,CC-MKT-02,B3,1339290,Yes,Retention Bonus,75,Billable,3475,BDG-Q3
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,CC-OPS-06,B2,2165070,No,Sales Commission,71,Non-Billable,0,BDG-Q4
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,CC-ENG-05,B5,1241147,No,Retention Bonus,68,Billable,2889,BDG-Q3
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,CC-HR-04,B4,788490,Yes,Retention Bonus,78,Non-Billable,0,BDG-Q3
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,CC-FIN-01,B4,3104840,No,Performance Bonus,91,Billable,3084,BDG-Q2
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,CC-FIN-01,B3,1104409,No,Performance Bonus,67,Billable,4463,BDG-Q3
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,CC-SLS-03,B6,1116595,Yes,Performance Bonus,52,Billable,2476,BDG-Q3
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,CC-SLS-03,B6,1263689,Yes,Retention Bonus,51,Billable,4864,BDG-Q3
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,CC-MKT-02,B2,2863089,Yes,Retention Bonus,33,Non-Billable,0,BDG-Q3
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,CC-HR-04,B4,1695426,Yes,Retention Bonus,78,Billable,2693,BDG-Q2
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,CC-HR-04,B3,843306,No,Performance Bonus,88,Non-Billable,0,BDG-Q3
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,CC-OPS-06,B5,3358909,Yes,None,97,Billable,1746,BDG-Q4
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,CC-OPS-06,B4,2926133,Yes,Sales Commission,100,Non-Billable,0,BDG-Q1
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,CC-OPS-06,B3,3219372,Yes,None,31,Billable,5825,BDG-Q4
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,CC-SLS-03,B3,2339461,Yes,Retention Bonus,78,Billable,2291,BDG-Q1
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,CC-HR-04,B1,2750224,No,Retention Bonus,60,Non-Billable,0,BDG-Q4
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,CC-HR-04,B5,2126322,Yes,None,69,Billable,5275,BDG-Q1
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,CC-FIN-01,B1,1671860,Yes,Retention Bonus,77,Billable,3921,BDG-Q1
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,CC-SLS-03,B2,2627410,No,Sales Commission,80,Non-Billable,0,BDG-Q1
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,CC-ENG-05,B1,2780521,Yes,Retention Bonus,72,Billable,5683,BDG-Q1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,CC-SLS-03,B1,1411554,Yes,Sales Commission,84,Non-Billable,0,BDG-Q2
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,CC-ENG-05,B4,3434418,No,None,78,Billable,2212,BDG-Q4
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,CC-FIN-01,B6,1187100,Yes,None,86,Non-Billable,0,BDG-Q1
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,CC-MKT-02,B3,2981732,Yes,Retention Bonus,44,Non-Billable,0,BDG-Q4
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,CC-HR-04,B5,2477971,Yes,Sales Commission,56,Non-Billable,0,BDG-Q3
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,CC-FIN-01,B1,3220308,No,Retention Bonus,97,Non-Billable,0,BDG-Q1
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,CC-HR-04,B5,1369097,Yes,Performance Bonus,93,Billable,3608,BDG-Q4
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,CC-OPS-06,B6,2949316,No,Performance Bonus,59,Billable,5114,BDG-Q2
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,CC-MKT-02,B6,3466757,Yes,Performance Bonus,65,Non-Billable,0,BDG-Q4
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,CC-MKT-02,B1,1936921,No,Performance Bonus,96,Billable,3559,BDG-Q1
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,CC-FIN-01,B2,2847939,Yes,Retention Bonus,78,Billable,4986,BDG-Q3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,CC-MKT-02,B1,760381,Yes,Performance Bonus,84,Billable,5832,BDG-Q4
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,CC-ENG-05,B4,2319014,Yes,Sales Commission,85,Non-Billable,0,BDG-Q3
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,CC-MKT-02,B3,3146982,Yes,None,97,Billable,5400,BDG-Q2
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,CC-HR-04,B2,2177969,Yes,None,73,Billable,4105,BDG-Q4
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,CC-HR-04,B1,1504098,Yes,Performance Bonus,60,Non-Billable,0,BDG-Q4
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,CC-HR-04,B5,2005568,No,Performance Bonus,87,Billable,5707,BDG-Q2
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,CC-HR-04,B2,668920,Yes,Performance Bonus,82,Non-Billable,0,BDG-Q2
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,CC-ENG-05,B2,1430051,No,Retention Bonus,52,Non-Billable,0,BDG-Q2
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,CC-SLS-03,B1,3347176,Yes,None,57,Non-Billable,0,BDG-Q1
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,CC-OPS-06,B2,3238509,No,Performance Bonus,45,Billable,3345,BDG-Q1
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,CC-FIN-01,B5,2704683,Yes,Sales Commission,66,Billable,1882,BDG-Q4
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,CC-HR-04,B6,3127419,Yes,Performance Bonus,50,Non-Billable,0,BDG-Q4
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,CC-MKT-02,B2,2311672,Yes,None,46,Non-Billable,0,BDG-Q4
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,CC-HR-04,B6,2311646,No,Performance Bonus,66,Non-Billable,0,BDG-Q3
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,CC-MKT-02,B5,2235288,Yes,None,48,Non-Billable,0,BDG-Q2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,CC-OPS-06,B1,3004899,Yes,Performance Bonus,59,Non-Billable,0,BDG-Q4
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,CC-OPS-06,B3,3171165,Yes,Sales Commission,74,Non-Billable,0,BDG-Q2
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,CC-OPS-06,B2,2829655,Yes,Performance Bonus,47,Billable,2379,BDG-Q1
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,CC-MKT-02,B3,2378539,Yes,Sales Commission,91,Non-Billable,0,BDG-Q2
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,CC-HR-04,B5,3389993,Yes,Sales Commission,65,Non-Billable,0,BDG-Q3
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,CC-OPS-06,B2,1264917,Yes,Performance Bonus,81,Non-Billable,0,BDG-Q3
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,CC-ENG-05,B6,2014022,Yes,Sales Commission,48,Billable,2859,BDG-Q2
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,CC-MKT-02,B4,1552246,Yes,Retention Bonus,73,Billable,5931,BDG-Q3
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,CC-MKT-02,B3,619675,No,Performance Bonus,36,Billable,4469,BDG-Q3
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,CC-HR-04,B2,673997,No,Performance Bonus,73,Billable,5460,BDG-Q1
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,CC-MKT-02,B3,2845239,No,Sales Commission,97,Non-Billable,0,BDG-Q4
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,CC-MKT-02,B2,1567561,No,Sales Commission,63,Billable,5742,BDG-Q3
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,CC-OPS-06,B1,2598671,Yes,Performance Bonus,95,Non-Billable,0,BDG-Q4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,CC-HR-04,B6,1086799,Yes,Retention Bonus,98,Non-Billable,0,BDG-Q2
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,CC-OPS-06,B3,3216501,No,Sales Commission,84,Non-Billable,0,BDG-Q2
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,CC-OPS-06,B4,1355678,Yes,Sales Commission,39,Non-Billable,0,BDG-Q3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,CC-HR-04,B4,2838057,No,None,71,Non-Billable,0,BDG-Q2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,CC-FIN-01,B5,870040,Yes,Retention Bonus,70,Non-Billable,0,BDG-Q1
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,CC-OPS-06,B2,2074764,Yes,Retention Bonus,98,Billable,2167,BDG-Q3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,CC-ENG-05,B3,3009029,Yes,Performance Bonus,39,Billable,3996,BDG-Q3
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,CC-ENG-05,B5,1166088,No,Retention Bonus,39,Billable,4999,BDG-Q3
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,CC-MKT-02,B3,1744620,Yes,Performance Bonus,89,Billable,4998,BDG-Q2
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,CC-ENG-05,B2,2964643,Yes,None,80,Billable,2944,BDG-Q2
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,CC-MKT-02,B4,2362999,Yes,Retention Bonus,50,Non-Billable,0,BDG-Q3
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,CC-FIN-01,B1,3186218,Yes,Sales Commission,37,Billable,2689,BDG-Q4
